symbol
eloca
six7
ahr1b
fgf1b
smc3
sox6
samd7
thrb
smad5
rxrga
zgc:153116
taf4a
patz1
znf1098
tbx21
znf1159
znf1096
si:ch73-266f23.1
egr3
nfe2l1b
nkx2.2a
thraa
lrrfip1a
epas1b
ctcf
pbx1a
cux2b
nr2f1b
zeb2b
skor1a
tbx2b
rx1
crema
etv5b
tefb
foxq2
akna
si:ch211-110e21.4
tefm
erfl3
tefa
tbx2a
xbp1
